,Country,MEASURE,Age group,Year,Unit Code,Unit,Value
48935,United Kingdom,CPI2010,Retirement age population: above 65,2013,IDX,Index,108.9900111
48936,United Kingdom,CPI2010,Retirement age population: above 65,2014,IDX,Index,110.5438402
48937,United Kingdom,CPI2010,Retirement age population: above 65,2015,IDX,Index,110.9877913
48938,United Kingdom,CPI2010,Retirement age population: above 65,2016,IDX,Index,112.09766929999999
48939,United Kingdom,CPI2010,Retirement age population: above 65,2017,IDX,Index,114.9833518
48940,United Kingdom,CPI2010,Retirement age population: above 65,2018,IDX,Index,117.6470588
48946,United Kingdom,CPI2010,Retirement age population: above 65,2009,IDX,Index,97.55826859
48947,United Kingdom,CPI2010,Retirement age population: above 65,2010,IDX,Index,100.0
49241,United States,GINI,Retirement age population: above 65,2013,0_TO_1,0-1 scale,0.406
49242,United States,GINI,Retirement age population: above 65,2014,0_TO_1,0-1 scale,0.40399999999999997
49243,United States,GINI,Retirement age population: above 65,2015,0_TO_1,0-1 scale,0.397
49244,United States,GINI,Retirement age population: above 65,2016,0_TO_1,0-1 scale,0.408
49245,United States,GINI,Retirement age population: above 65,2017,0_TO_1,0-1 scale,0.41100000000000003
49248,United States,GINI,Retirement age population: above 65,2009,0_TO_1,0-1 scale,0.37799999999999995
49249,United States,GINI,Retirement age population: above 65,2010,0_TO_1,0-1 scale,0.379
49250,United States,GINI,Retirement age population: above 65,2011,0_TO_1,0-1 scale,0.381
49251,United States,GINI,Retirement age population: above 65,2012,0_TO_1,0-1 scale,0.391
49252,United States,CPI2010,Retirement age population: above 65,2013,IDX,Index,106.8338523
49253,United States,CPI2010,Retirement age population: above 65,2014,IDX,Index,108.56694040000001
49254,United States,CPI2010,Retirement age population: above 65,2015,IDX,Index,108.6957231
49255,United States,CPI2010,Retirement age population: above 65,2016,IDX,Index,110.0670283
49256,United States,CPI2010,Retirement age population: above 65,2017,IDX,Index,112.41159509999999
49259,United States,CPI2010,Retirement age population: above 65,2009,IDX,Index,98.38642286
49260,United States,CPI2010,Retirement age population: above 65,2010,IDX,Index,100.0
49261,United States,CPI2010,Retirement age population: above 65,2011,IDX,Index,103.15684990000001
49262,United States,CPI2010,Retirement age population: above 65,2012,IDX,Index,105.29150349999999
49456,Chile,GINI,Retirement age population: above 65,2009,0_TO_1,0-1 scale,0.48200000000000004
49457,Chile,GINI,Retirement age population: above 65,2011,0_TO_1,0-1 scale,0.465
49459,Chile,CPI2010,Retirement age population: above 65,2009,IDX,Index,98.60890177
49460,Chile,CPI2010,Retirement age population: above 65,2011,IDX,Index,103.3412169
49500,Estonia,GINI,Retirement age population: above 65,2013,0_TO_1,0-1 scale,0.268
49501,Estonia,GINI,Retirement age population: above 65,2014,0_TO_1,0-1 scale,0.273
49502,Estonia,GINI,Retirement age population: above 65,2015,0_TO_1,0-1 scale,0.28
49503,Estonia,GINI,Retirement age population: above 65,2016,0_TO_1,0-1 scale,0.284
49504,Estonia,GINI,Retirement age population: above 65,2017,0_TO_1,0-1 scale,0.29100000000000004
49505,Estonia,GINI,Retirement age population: above 65,2018,0_TO_1,0-1 scale,0.297
49511,Estonia,GINI,Retirement age population: above 65,2009,0_TO_1,0-1 scale,0.24
49512,Estonia,GINI,Retirement age population: above 65,2010,0_TO_1,0-1 scale,0.22699999999999998
49513,Estonia,GINI,Retirement age population: above 65,2011,0_TO_1,0-1 scale,0.24
49514,Estonia,GINI,Retirement age population: above 65,2012,0_TO_1,0-1 scale,0.252
49515,Estonia,GINI,Retirement age population: above 65,2013,0_TO_1,0-1 scale,0.264
49516,Estonia,CPI2010,Retirement age population: above 65,2013,IDX,Index,112.1451987
49517,Estonia,CPI2010,Retirement age population: above 65,2014,IDX,Index,112.02614390000001
49518,Estonia,CPI2010,Retirement age population: above 65,2015,IDX,Index,111.47456770000001
49519,Estonia,CPI2010,Retirement age population: above 65,2016,IDX,Index,111.6403304
49520,Estonia,CPI2010,Retirement age population: above 65,2017,IDX,Index,115.4553246
49521,Estonia,CPI2010,Retirement age population: above 65,2018,IDX,Index,119.4227044
49527,Estonia,CPI2010,Retirement age population: above 65,2009,IDX,Index,97.11373393
49528,Estonia,CPI2010,Retirement age population: above 65,2010,IDX,Index,100.0
49529,Estonia,CPI2010,Retirement age population: above 65,2011,IDX,Index,104.9818988
49530,Estonia,CPI2010,Retirement age population: above 65,2012,IDX,Index,109.11126229999999
49531,Estonia,CPI2010,Retirement age population: above 65,2013,IDX,Index,112.1451987
49890,Israel,GINI,Retirement age population: above 65,2011,0_TO_1,0-1 scale,0.43799999999999994
49891,Israel,GINI,Retirement age population: above 65,2012,0_TO_1,0-1 scale,0.382
49892,Israel,GINI,Retirement age population: above 65,2013,0_TO_1,0-1 scale,0.397
49893,Israel,GINI,Retirement age population: above 65,2014,0_TO_1,0-1 scale,0.39399999999999996
49894,Israel,GINI,Retirement age population: above 65,2015,0_TO_1,0-1 scale,0.375
49895,Israel,GINI,Retirement age population: above 65,2016,0_TO_1,0-1 scale,0.369
49896,Israel,GINI,Retirement age population: above 65,2017,0_TO_1,0-1 scale,0.35700000000000004
49897,Israel,GINI,Retirement age population: above 65,2018,0_TO_1,0-1 scale,0.382
49900,Israel,GINI,Retirement age population: above 65,2009,0_TO_1,0-1 scale,0.376
49901,Israel,GINI,Retirement age population: above 65,2010,0_TO_1,0-1 scale,0.38
49902,Israel,GINI,Retirement age population: above 65,2011,0_TO_1,0-1 scale,0.374
49903,Israel,CPI2010,Retirement age population: above 65,2011,IDX,Index,103.467391
49904,Israel,CPI2010,Retirement age population: above 65,2012,IDX,Index,105.2100122
49905,Israel,CPI2010,Retirement age population: above 65,2013,IDX,Index,106.8633235
49906,Israel,CPI2010,Retirement age population: above 65,2014,IDX,Index,107.3815771
49907,Israel,CPI2010,Retirement age population: above 65,2015,IDX,Index,106.7024162
49908,Israel,CPI2010,Retirement age population: above 65,2016,IDX,Index,106.12153899999998
49909,Israel,CPI2010,Retirement age population: above 65,2017,IDX,Index,106.3806978
49910,Israel,CPI2010,Retirement age population: above 65,2018,IDX,Index,107.24755890000002
49913,Israel,CPI2010,Retirement age population: above 65,2009,IDX,Index,97.36372474
49914,Israel,CPI2010,Retirement age population: above 65,2010,IDX,Index,100.0
49915,Israel,CPI2010,Retirement age population: above 65,2011,IDX,Index,103.467391
50178,Russia,GINI,Retirement age population: above 65,2010,0_TO_1,0-1 scale,0.33299999999999996
50180,Russia,CPI2010,Retirement age population: above 65,2010,IDX,Index,100.0
50204,Slovenia,GINI,Retirement age population: above 65,2009,0_TO_1,0-1 scale,0.258
50205,Slovenia,GINI,Retirement age population: above 65,2010,0_TO_1,0-1 scale,0.26
50206,Slovenia,GINI,Retirement age population: above 65,2011,0_TO_1,0-1 scale,0.253
50207,Slovenia,GINI,Retirement age population: above 65,2012,0_TO_1,0-1 scale,0.258
50208,Slovenia,GINI,Retirement age population: above 65,2013,0_TO_1,0-1 scale,0.258
50209,Slovenia,GINI,Retirement age population: above 65,2014,0_TO_1,0-1 scale,0.254
50210,Slovenia,GINI,Retirement age population: above 65,2015,0_TO_1,0-1 scale,0.261
50211,Slovenia,GINI,Retirement age population: above 65,2016,0_TO_1,0-1 scale,0.252
50212,Slovenia,GINI,Retirement age population: above 65,2017,0_TO_1,0-1 scale,0.256
50213,Slovenia,GINI,Retirement age population: above 65,2018,0_TO_1,0-1 scale,0.251
50219,Slovenia,GINI,Retirement age population: above 65,2009,0_TO_1,0-1 scale,0.262
50220,Slovenia,GINI,Retirement age population: above 65,2010,0_TO_1,0-1 scale,0.263
50221,Slovenia,GINI,Retirement age population: above 65,2011,0_TO_1,0-1 scale,0.256
50222,Slovenia,GINI,Retirement age population: above 65,2012,0_TO_1,0-1 scale,0.26
50223,Slovenia,GINI,Retirement age population: above 65,2013,0_TO_1,0-1 scale,0.26
50229,Slovenia,CPI2010,Retirement age population: above 65,2009,IDX,Index,98.23069792
50230,Slovenia,CPI2010,Retirement age population: above 65,2010,IDX,Index,100.0
50231,Slovenia,CPI2010,Retirement age population: above 65,2011,IDX,Index,101.80284470000001
50232,Slovenia,CPI2010,Retirement age population: above 65,2012,IDX,Index,104.4470931
50233,Slovenia,CPI2010,Retirement age population: above 65,2013,IDX,Index,106.29500729999998
50234,Slovenia,CPI2010,Retirement age population: above 65,2014,IDX,Index,106.50689969999999
50235,Slovenia,CPI2010,Retirement age population: above 65,2015,IDX,Index,105.9470799
50236,Slovenia,CPI2010,Retirement age population: above 65,2016,IDX,Index,105.8888412
50237,Slovenia,CPI2010,Retirement age population: above 65,2017,IDX,Index,107.40214540000001
50238,Slovenia,CPI2010,Retirement age population: above 65,2018,IDX,Index,109.2694478
50244,Slovenia,CPI2010,Retirement age population: above 65,2009,IDX,Index,98.23069792
50245,Slovenia,CPI2010,Retirement age population: above 65,2010,IDX,Index,100.0
50246,Slovenia,CPI2010,Retirement age population: above 65,2011,IDX,Index,101.80284470000001
50247,Slovenia,CPI2010,Retirement age population: above 65,2012,IDX,Index,104.4470931
50248,Slovenia,CPI2010,Retirement age population: above 65,2013,IDX,Index,106.29500729999998
52703,Latvia,GINI,Total population,2009,0_TO_1,0-1 scale,0.354
52704,Latvia,GINI,Total population,2010,0_TO_1,0-1 scale,0.34600000000000003
52705,Latvia,GINI,Total population,2011,0_TO_1,0-1 scale,0.35100000000000003
52706,Latvia,GINI,Total population,2012,0_TO_1,0-1 scale,0.34600000000000003
52707,Latvia,GINI,Total population,2013,0_TO_1,0-1 scale,0.35100000000000003
52708,Latvia,GINI,Total population,2014,0_TO_1,0-1 scale,0.349
52709,Latvia,GINI,Total population,2015,0_TO_1,0-1 scale,0.34600000000000003
52710,Latvia,GINI,Total population,2016,0_TO_1,0-1 scale,0.34600000000000003
52711,Latvia,GINI,Total population,2017,0_TO_1,0-1 scale,0.355
52712,Latvia,GINI,Total population,2018,0_TO_1,0-1 scale,0.35100000000000003
52713,Japan,GINI,Total population,2009,0_TO_1,0-1 scale,0.336
52714,Japan,GINI,Total population,2012,0_TO_1,0-1 scale,0.33
52715,Japan,GINI,Total population,2015,0_TO_1,0-1 scale,0.33899999999999997
52716,Japan,CPI2010,Total population,2009,IDX,Index,100.7252007
52717,Japan,CPI2010,Total population,2012,IDX,Index,99.6805698
52718,Japan,CPI2010,Total population,2015,IDX,Index,103.6001036
52862,Korea,CPI2010,Total population,2015,IDX,Index,109.82734450000001
52863,Korea,CPI2010,Total population,2016,IDX,Index,110.89446880000001
52864,Korea,CPI2010,Total population,2017,IDX,Index,113.0508368
52865,Korea,CPI2010,Total population,2018,IDX,Index,114.7192378
53164,Chile,GINI,Total population,2009,0_TO_1,0-1 scale,0.48
53165,Chile,GINI,Total population,2011,0_TO_1,0-1 scale,0.47100000000000003
53166,Chile,GINI,Total population,2013,0_TO_1,0-1 scale,0.465
53167,Chile,GINI,Total population,2015,0_TO_1,0-1 scale,0.45399999999999996
53168,Chile,GINI,Total population,2017,0_TO_1,0-1 scale,0.46
53169,Chile,CPI2010,Total population,2009,IDX,Index,98.60890177
53170,Chile,CPI2010,Total population,2011,IDX,Index,103.3412169
53171,Chile,CPI2010,Total population,2013,IDX,Index,108.3541197
53172,Chile,CPI2010,Total population,2015,IDX,Index,118.40141509999998
53173,Chile,CPI2010,Total population,2017,IDX,Index,125.56659520000001
53429,Latvia,CPI2010,Total population,2009,IDX,Index,101.09652750000001
53430,Latvia,CPI2010,Total population,2010,IDX,Index,100.0
53431,Latvia,CPI2010,Total population,2011,IDX,Index,104.370742
53432,Latvia,CPI2010,Total population,2012,IDX,Index,106.72721159999999
53433,Latvia,CPI2010,Total population,2013,IDX,Index,106.69577620000001
53434,Latvia,CPI2010,Total population,2014,IDX,Index,107.35782240000002
53435,Latvia,CPI2010,Total population,2015,IDX,Index,107.5448753
53436,Latvia,CPI2010,Total population,2016,IDX,Index,107.69608329999998
53437,Latvia,CPI2010,Total population,2017,IDX,Index,110.85198770000001
53438,Latvia,CPI2010,Total population,2018,IDX,Index,113.66148999999999
54141,Lithuania,GINI,Total population,2009,0_TO_1,0-1 scale,0.365
54142,Lithuania,GINI,Total population,2010,0_TO_1,0-1 scale,0.32899999999999996
54143,Lithuania,GINI,Total population,2011,0_TO_1,0-1 scale,0.321
54144,Lithuania,GINI,Total population,2012,0_TO_1,0-1 scale,0.35
54145,Lithuania,GINI,Total population,2013,0_TO_1,0-1 scale,0.35100000000000003
54146,Lithuania,GINI,Total population,2014,0_TO_1,0-1 scale,0.38
54147,Lithuania,GINI,Total population,2015,0_TO_1,0-1 scale,0.37200000000000005
54148,Lithuania,GINI,Total population,2016,0_TO_1,0-1 scale,0.37799999999999995
54149,Lithuania,GINI,Total population,2017,0_TO_1,0-1 scale,0.374
54150,Lithuania,GINI,Total population,2018,0_TO_1,0-1 scale,0.361
54156,Lithuania,CPI2010,Total population,2009,IDX,Index,98.69795408
54157,Lithuania,CPI2010,Total population,2010,IDX,Index,100.0
54158,Lithuania,CPI2010,Total population,2011,IDX,Index,104.13027729999999
54159,Lithuania,CPI2010,Total population,2012,IDX,Index,107.3478741
54160,Lithuania,CPI2010,Total population,2013,IDX,Index,108.4723282
54161,Lithuania,CPI2010,Total population,2014,IDX,Index,108.58490379999999
54162,Lithuania,CPI2010,Total population,2015,IDX,Index,107.624879
54163,Lithuania,CPI2010,Total population,2016,IDX,Index,108.59943319999999
54164,Lithuania,CPI2010,Total population,2017,IDX,Index,112.64246979999999
54165,Lithuania,CPI2010,Total population,2018,IDX,Index,115.68147379999999
54870,Japan,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.332
54871,Japan,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.32
54872,Japan,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.332
54873,Japan,CPI2010,Working age population: 18-65,2009,IDX,Index,100.7252007
54874,Japan,CPI2010,Working age population: 18-65,2012,IDX,Index,99.6805698
54875,Japan,CPI2010,Working age population: 18-65,2015,IDX,Index,103.6001036
54950,Korea,CPI2010,Working age population: 18-65,2015,IDX,Index,109.82734450000001
54951,Korea,CPI2010,Working age population: 18-65,2016,IDX,Index,110.89446880000001
54952,Korea,CPI2010,Working age population: 18-65,2017,IDX,Index,113.0508368
54953,Korea,CPI2010,Working age population: 18-65,2018,IDX,Index,114.7192378
55168,Chile,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.484
55169,Chile,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.47100000000000003
55170,Chile,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.467
55171,Chile,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.45299999999999996
55172,Chile,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.45899999999999996
55173,Chile,CPI2010,Working age population: 18-65,2009,IDX,Index,98.60890177
55174,Chile,CPI2010,Working age population: 18-65,2011,IDX,Index,103.3412169
55175,Chile,CPI2010,Working age population: 18-65,2013,IDX,Index,108.3541197
55176,Chile,CPI2010,Working age population: 18-65,2015,IDX,Index,118.40141509999998
55177,Chile,CPI2010,Working age population: 18-65,2017,IDX,Index,125.56659520000001
55323,Latvia,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.354
55324,Latvia,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.34700000000000003
55325,Latvia,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.35100000000000003
55326,Latvia,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.344
55327,Latvia,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.344
55328,Latvia,GINI,Working age population: 18-65,2014,0_TO_1,0-1 scale,0.33899999999999997
55329,Latvia,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.33799999999999997
55330,Latvia,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.33299999999999996
55331,Latvia,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.342
55332,Latvia,GINI,Working age population: 18-65,2018,0_TO_1,0-1 scale,0.337
55338,Latvia,CPI2010,Working age population: 18-65,2009,IDX,Index,101.09652750000001
55339,Latvia,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
55340,Latvia,CPI2010,Working age population: 18-65,2011,IDX,Index,104.370742
55341,Latvia,CPI2010,Working age population: 18-65,2012,IDX,Index,106.72721159999999
55342,Latvia,CPI2010,Working age population: 18-65,2013,IDX,Index,106.69577620000001
55343,Latvia,CPI2010,Working age population: 18-65,2014,IDX,Index,107.35782240000002
55344,Latvia,CPI2010,Working age population: 18-65,2015,IDX,Index,107.5448753
55345,Latvia,CPI2010,Working age population: 18-65,2016,IDX,Index,107.69608329999998
55346,Latvia,CPI2010,Working age population: 18-65,2017,IDX,Index,110.85198770000001
55347,Latvia,CPI2010,Working age population: 18-65,2018,IDX,Index,113.66148999999999
55720,Lithuania,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.373
55721,Lithuania,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.336
55722,Lithuania,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.321
55723,Lithuania,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.35
55724,Lithuania,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.348
55725,Lithuania,GINI,Working age population: 18-65,2014,0_TO_1,0-1 scale,0.374
55726,Lithuania,GINI,Working age population: 18-65,2015,0_TO_1,0-1 scale,0.36700000000000005
55727,Lithuania,GINI,Working age population: 18-65,2016,0_TO_1,0-1 scale,0.37200000000000005
55728,Lithuania,GINI,Working age population: 18-65,2017,0_TO_1,0-1 scale,0.36200000000000004
55729,Lithuania,GINI,Working age population: 18-65,2018,0_TO_1,0-1 scale,0.35200000000000004
55735,Lithuania,CPI2010,Working age population: 18-65,2009,IDX,Index,98.69795408
55736,Lithuania,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
55737,Lithuania,CPI2010,Working age population: 18-65,2011,IDX,Index,104.13027729999999
55738,Lithuania,CPI2010,Working age population: 18-65,2012,IDX,Index,107.3478741
55739,Lithuania,CPI2010,Working age population: 18-65,2013,IDX,Index,108.4723282
55740,Lithuania,CPI2010,Working age population: 18-65,2014,IDX,Index,108.58490379999999
55741,Lithuania,CPI2010,Working age population: 18-65,2015,IDX,Index,107.624879
55742,Lithuania,CPI2010,Working age population: 18-65,2016,IDX,Index,108.59943319999999
55743,Lithuania,CPI2010,Working age population: 18-65,2017,IDX,Index,112.64246979999999
55744,Lithuania,CPI2010,Working age population: 18-65,2018,IDX,Index,115.68147379999999
56119,Japan,GINI,Retirement age population: above 65,2009,0_TO_1,0-1 scale,0.341
56120,Japan,GINI,Retirement age population: above 65,2012,0_TO_1,0-1 scale,0.341
56121,Japan,GINI,Retirement age population: above 65,2015,0_TO_1,0-1 scale,0.35100000000000003
56122,Japan,CPI2010,Retirement age population: above 65,2009,IDX,Index,100.7252007
56123,Japan,CPI2010,Retirement age population: above 65,2012,IDX,Index,99.6805698
56124,Japan,CPI2010,Retirement age population: above 65,2015,IDX,Index,103.6001036
56193,Korea,CPI2010,Retirement age population: above 65,2015,IDX,Index,109.82734450000001
56194,Korea,CPI2010,Retirement age population: above 65,2016,IDX,Index,110.89446880000001
56195,Korea,CPI2010,Retirement age population: above 65,2017,IDX,Index,113.0508368
56196,Korea,CPI2010,Retirement age population: above 65,2018,IDX,Index,114.7192378
56351,Chile,GINI,Retirement age population: above 65,2009,0_TO_1,0-1 scale,0.442
56352,Chile,GINI,Retirement age population: above 65,2011,0_TO_1,0-1 scale,0.426
56353,Chile,GINI,Retirement age population: above 65,2013,0_TO_1,0-1 scale,0.428
56354,Chile,GINI,Retirement age population: above 65,2015,0_TO_1,0-1 scale,0.436
56355,Chile,GINI,Retirement age population: above 65,2017,0_TO_1,0-1 scale,0.441
56356,Chile,CPI2010,Retirement age population: above 65,2009,IDX,Index,98.60890177
56357,Chile,CPI2010,Retirement age population: above 65,2011,IDX,Index,103.3412169
56358,Chile,CPI2010,Retirement age population: above 65,2013,IDX,Index,108.3541197
56359,Chile,CPI2010,Retirement age population: above 65,2015,IDX,Index,118.40141509999998
56360,Chile,CPI2010,Retirement age population: above 65,2017,IDX,Index,125.56659520000001
56496,Latvia,GINI,Retirement age population: above 65,2009,0_TO_1,0-1 scale,0.298
56497,Latvia,GINI,Retirement age population: above 65,2010,0_TO_1,0-1 scale,0.281
56498,Latvia,GINI,Retirement age population: above 65,2011,0_TO_1,0-1 scale,0.28600000000000003
56499,Latvia,GINI,Retirement age population: above 65,2012,0_TO_1,0-1 scale,0.299
56500,Latvia,GINI,Retirement age population: above 65,2013,0_TO_1,0-1 scale,0.31
56501,Latvia,GINI,Retirement age population: above 65,2014,0_TO_1,0-1 scale,0.316
56502,Latvia,GINI,Retirement age population: above 65,2015,0_TO_1,0-1 scale,0.33
56503,Latvia,GINI,Retirement age population: above 65,2016,0_TO_1,0-1 scale,0.34299999999999997
56504,Latvia,GINI,Retirement age population: above 65,2017,0_TO_1,0-1 scale,0.355
56505,Latvia,GINI,Retirement age population: above 65,2018,0_TO_1,0-1 scale,0.36200000000000004
56511,Latvia,CPI2010,Retirement age population: above 65,2009,IDX,Index,101.09652750000001
56512,Latvia,CPI2010,Retirement age population: above 65,2010,IDX,Index,100.0
56513,Latvia,CPI2010,Retirement age population: above 65,2011,IDX,Index,104.370742
56514,Latvia,CPI2010,Retirement age population: above 65,2012,IDX,Index,106.72721159999999
56515,Latvia,CPI2010,Retirement age population: above 65,2013,IDX,Index,106.69577620000001
56516,Latvia,CPI2010,Retirement age population: above 65,2014,IDX,Index,107.35782240000002
56517,Latvia,CPI2010,Retirement age population: above 65,2015,IDX,Index,107.5448753
56518,Latvia,CPI2010,Retirement age population: above 65,2016,IDX,Index,107.69608329999998
56519,Latvia,CPI2010,Retirement age population: above 65,2017,IDX,Index,110.85198770000001
56520,Latvia,CPI2010,Retirement age population: above 65,2018,IDX,Index,113.66148999999999
56893,Lithuania,GINI,Retirement age population: above 65,2009,0_TO_1,0-1 scale,0.273
56894,Lithuania,GINI,Retirement age population: above 65,2010,0_TO_1,0-1 scale,0.258
56895,Lithuania,GINI,Retirement age population: above 65,2011,0_TO_1,0-1 scale,0.268
56896,Lithuania,GINI,Retirement age population: above 65,2012,0_TO_1,0-1 scale,0.293
56897,Lithuania,GINI,Retirement age population: above 65,2013,0_TO_1,0-1 scale,0.298
56898,Lithuania,GINI,Retirement age population: above 65,2014,0_TO_1,0-1 scale,0.302
56899,Lithuania,GINI,Retirement age population: above 65,2015,0_TO_1,0-1 scale,0.315
56900,Lithuania,GINI,Retirement age population: above 65,2016,0_TO_1,0-1 scale,0.34
56901,Lithuania,GINI,Retirement age population: above 65,2017,0_TO_1,0-1 scale,0.34299999999999997
56902,Lithuania,GINI,Retirement age population: above 65,2018,0_TO_1,0-1 scale,0.322
56908,Lithuania,CPI2010,Retirement age population: above 65,2009,IDX,Index,98.69795408
56909,Lithuania,CPI2010,Retirement age population: above 65,2010,IDX,Index,100.0
56910,Lithuania,CPI2010,Retirement age population: above 65,2011,IDX,Index,104.13027729999999
56911,Lithuania,CPI2010,Retirement age population: above 65,2012,IDX,Index,107.3478741
56912,Lithuania,CPI2010,Retirement age population: above 65,2013,IDX,Index,108.4723282
56913,Lithuania,CPI2010,Retirement age population: above 65,2014,IDX,Index,108.58490379999999
56914,Lithuania,CPI2010,Retirement age population: above 65,2015,IDX,Index,107.624879
56915,Lithuania,CPI2010,Retirement age population: above 65,2016,IDX,Index,108.59943319999999
56916,Lithuania,CPI2010,Retirement age population: above 65,2017,IDX,Index,112.64246979999999
56917,Lithuania,CPI2010,Retirement age population: above 65,2018,IDX,Index,115.68147379999999
57303,Latvia,GINI,Total population,2009,0_TO_1,0-1 scale,0.36200000000000004
57304,Latvia,GINI,Total population,2010,0_TO_1,0-1 scale,0.355
57305,Latvia,GINI,Total population,2011,0_TO_1,0-1 scale,0.361
57306,Latvia,GINI,Total population,2012,0_TO_1,0-1 scale,0.355
57307,Latvia,GINI,Total population,2013,0_TO_1,0-1 scale,0.36
57313,Latvia,CPI2010,Total population,2009,IDX,Index,101.09652750000001
57314,Latvia,CPI2010,Total population,2010,IDX,Index,100.0
57315,Latvia,CPI2010,Total population,2011,IDX,Index,104.370742
57316,Latvia,CPI2010,Total population,2012,IDX,Index,106.72721159999999
57317,Latvia,CPI2010,Total population,2013,IDX,Index,106.69577620000001
57783,Lithuania,GINI,Total population,2009,0_TO_1,0-1 scale,0.373
57784,Lithuania,GINI,Total population,2010,0_TO_1,0-1 scale,0.335
57785,Lithuania,GINI,Total population,2011,0_TO_1,0-1 scale,0.326
57786,Lithuania,GINI,Total population,2012,0_TO_1,0-1 scale,0.35200000000000004
57787,Lithuania,GINI,Total population,2013,0_TO_1,0-1 scale,0.354
57793,Lithuania,CPI2010,Total population,2009,IDX,Index,98.69795408
57794,Lithuania,CPI2010,Total population,2010,IDX,Index,100.0
57795,Lithuania,CPI2010,Total population,2011,IDX,Index,104.13027729999999
57796,Lithuania,CPI2010,Total population,2012,IDX,Index,107.3478741
57797,Lithuania,CPI2010,Total population,2013,IDX,Index,108.4723282
58263,Latvia,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.363
58264,Latvia,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.35700000000000004
58265,Latvia,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.36200000000000004
58266,Latvia,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.353
58267,Latvia,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.354
58273,Latvia,CPI2010,Working age population: 18-65,2009,IDX,Index,101.09652750000001
58274,Latvia,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
58275,Latvia,CPI2010,Working age population: 18-65,2011,IDX,Index,104.370742
58276,Latvia,CPI2010,Working age population: 18-65,2012,IDX,Index,106.72721159999999
58277,Latvia,CPI2010,Working age population: 18-65,2013,IDX,Index,106.69577620000001
58533,Lithuania,GINI,Working age population: 18-65,2009,0_TO_1,0-1 scale,0.38299999999999995
58534,Lithuania,GINI,Working age population: 18-65,2010,0_TO_1,0-1 scale,0.344
58535,Lithuania,GINI,Working age population: 18-65,2011,0_TO_1,0-1 scale,0.32799999999999996
58536,Lithuania,GINI,Working age population: 18-65,2012,0_TO_1,0-1 scale,0.353
58537,Lithuania,GINI,Working age population: 18-65,2013,0_TO_1,0-1 scale,0.35200000000000004
58543,Lithuania,CPI2010,Working age population: 18-65,2009,IDX,Index,98.69795408
58544,Lithuania,CPI2010,Working age population: 18-65,2010,IDX,Index,100.0
58545,Lithuania,CPI2010,Working age population: 18-65,2011,IDX,Index,104.13027729999999
58546,Lithuania,CPI2010,Working age population: 18-65,2012,IDX,Index,107.3478741
58547,Lithuania,CPI2010,Working age population: 18-65,2013,IDX,Index,108.4723282
58803,Latvia,GINI,Retirement age population: above 65,2009,0_TO_1,0-1 scale,0.3
58804,Latvia,GINI,Retirement age population: above 65,2010,0_TO_1,0-1 scale,0.284
58805,Latvia,GINI,Retirement age population: above 65,2011,0_TO_1,0-1 scale,0.289
58806,Latvia,GINI,Retirement age population: above 65,2012,0_TO_1,0-1 scale,0.3
58807,Latvia,GINI,Retirement age population: above 65,2013,0_TO_1,0-1 scale,0.31
58813,Latvia,CPI2010,Retirement age population: above 65,2009,IDX,Index,101.09652750000001
58814,Latvia,CPI2010,Retirement age population: above 65,2010,IDX,Index,100.0
58815,Latvia,CPI2010,Retirement age population: above 65,2011,IDX,Index,104.370742
58816,Latvia,CPI2010,Retirement age population: above 65,2012,IDX,Index,106.72721159999999
58817,Latvia,CPI2010,Retirement age population: above 65,2013,IDX,Index,106.69577620000001
